model,partition,adulterant,level_pct,identification_acc,pred_mean,abs_err
SVM,43,peanut,92,1.0,93.287345,2.248531250000001
SVM,43,peanut,96,1.0,87.46776187500001,8.532238125
SVM,43,peanut,100,1.0,90.066436875,9.933563125
SVM,43,sunflower,4,1.0,5.804943125,2.3519493749999993
SVM,43,sunflower,8,0.875,13.76370625,5.76370625
SVM,43,sunflower,12,0.8,25.303179333333333,13.30317933333333
SVM,43,sunflower,16,1.0,19.776062500000002,3.7760625
SVM,43,sunflower,20,1.0,25.4771775,5.4771775
SVM,43,sunflower,24,1.0,21.76765,2.7464837500000012
SVM,43,sunflower,28,1.0,27.551619375,1.6871631249999988
SVM,43,sunflower,32,1.0,30.041321875,2.5002981250000005
SVM,43,sunflower,36,1.0,32.365145625,3.6348543750000006
SVM,43,sunflower,40,1.0,37.93934176470589,2.2356841176470588
SVM,43,sunflower,44,1.0,43.16507125,2.0559100000000003
SVM,43,sunflower,48,1.0,49.585579374999995,2.285493125
SVM,43,sunflower,52,1.0,50.066860625000004,2.6538143750000005
SVM,43,sunflower,56,1.0,53.57708375,2.5661799999999997
SVM,43,sunflower,60,1.0,61.386553750000004,2.0438175000000007
SVM,43,sunflower,64,1.0,64.213520625,2.3892718749999995
SVM,43,sunflower,68,1.0,61.278699374999995,6.733258125
SVM,43,sunflower,72,1.0,72.99848937499999,2.9978443749999997
SVM,43,sunflower,76,1.0,75.72352999999998,2.4094262499999983
SVM,43,sunflower,80,1.0,80.04003357142857,2.8860835714285704
SVM,43,sunflower,84,1.0,74.129780625,9.870219375
SVM,43,sunflower,88,1.0,78.92943249999999,9.0705675
SVM,43,sunflower,92,1.0,93.48358875,2.8930325000000003
SVM,43,sunflower,96,1.0,90.306030625,5.693969375000001
SVM,43,sunflower,100,1.0,92.55364294117646,7.44635705882353
SVM,44,peanut,4,1.0,7.7944875,3.7944875
SVM,44,peanut,8,1.0,13.729757499999998,5.729757499999999
SVM,44,peanut,12,1.0,16.263240625,4.263240624999999
SVM,44,peanut,16,1.0,23.207904375000002,7.207904375000001
SVM,44,peanut,20,1.0,22.32762,2.4212637499999996
SVM,44,peanut,24,1.0,25.93935125,2.5417187500000002
SVM,44,peanut,28,1.0,26.618699375000006,1.5755543749999985
SVM,44,peanut,32,1.0,31.231735625,1.5915181249999986
SVM,44,peanut,36,1.0,32.033550625000004,3.966449374999998
SVM,44,peanut,40,1.0,39.177115,1.8954600000000004
SVM,44,peanut,44,1.0,42.257925,2.0033349999999994
SVM,44,peanut,48,1.0,47.639248125,1.4747218750000002
SVM,44,peanut,52,1.0,49.937055,3.32683625
SVM,44,peanut,56,1.0,53.572843125,2.4509168750000003
SVM,44,peanut,60,1.0,59.279263125,1.4735456250000003
SVM,44,peanut,64,1.0,63.482732352941184,1.80375
SVM,44,peanut,68,1.0,67.638035625,1.4625756250000022
SVM,44,peanut,72,1.0,70.751316875,4.673679375
SVM,44,peanut,76,1.0,76.36017000000001,2.081054999999999
SVM,44,peanut,80,1.0,81.369196875,3.4476443749999994
SVM,44,peanut,84,1.0,76.446016875,7.5539831249999985
SVM,44,peanut,88,1.0,89.09758,2.0817024999999996
SVM,44,peanut,92,1.0,93.27776250000001,1.7437637500000012
SVM,44,peanut,96,1.0,86.405534375,9.594465625000002
SVM,44,peanut,100,1.0,91.23166749999999,8.768332500000001
SVM,44,sunflower,4,1.0,13.153344375,9.153344375
SVM,44,sunflower,8,0.9375,12.019249375000001,4.019249375000001
SVM,44,sunflower,12,0.4666666666666667,21.862005999999997,9.862006000000001
SVM,44,sunflower,16,1.0,19.636064375,3.658903125
SVM,44,sunflower,20,1.0,26.578631249999997,6.578631249999998
SVM,44,sunflower,24,1.0,21.671824375,2.574378125
SVM,44,sunflower,28,1.0,29.182013124999997,1.4509781249999998
SVM,44,sunflower,32,1.0,31.336851250000002,2.16751625
SVM,44,sunflower,36,1.0,32.379647500000004,3.620352499999999
SVM,44,sunflower,40,1.0,37.24862176470588,2.8382382352941176
SVM,44,sunflower,44,1.0,42.767390625000004,1.9480443750000003
SVM,44,sunflower,48,1.0,48.972040625,1.6261568749999995
SVM,44,sunflower,52,1.0,49.19711624999999,3.0895162500000004
SVM,44,sunflower,56,1.0,52.25472499999999,3.77540625
SVM,44,sunflower,60,1.0,59.97024,1.7801662499999997
SVM,44,sunflower,64,1.0,63.500911875,3.2214343750000007
SVM,44,sunflower,68,1.0,65.172270625,3.5032443749999995
SVM,44,sunflower,72,1.0,70.999931875,2.4611993750000014
SVM,44,sunflower,76,1.0,76.141515,1.9301662499999992
SVM,44,sunflower,80,1.0,80.46937142857142,3.621477142857143
SVM,44,sunflower,84,1.0,71.804620625,12.195379375000002
SVM,44,sunflower,88,1.0,82.2793525,6.14862875
SVM,44,sunflower,92,1.0,90.576065625,3.6599031250000005
SVM,44,sunflower,96,1.0,91.967519375,4.0719368750000005
SVM,44,sunflower,100,1.0,91.16449999999999,8.8355
RF,42,peanut,4,0.4375,4.270006250000001,3.5133325000000015
RF,42,peanut,8,0.125,14.235840625,6.235840625
RF,42,peanut,12,0.9375,24.347043125,12.760629375
RF,42,peanut,16,1.0,29.776576875,13.776576875
RF,42,peanut,20,0.3125,23.045266875,4.017585624999998
RF,42,peanut,24,1.0,29.493094375,13.052269374999998
RF,42,peanut,28,1.0,27.25782125,3.4833612500000015
RF,42,peanut,32,0.8125,13.947951875000001,18.962086874999997
RF,42,peanut,36,1.0,24.300280625,19.561386874999997
RF,42,peanut,40,1.0,40.9129475,4.822733749999999
RF,42,peanut,44,1.0,28.758603125,15.241396875000001
RF,42,peanut,48,1.0,46.1758325,2.6441675000000004
RF,42,peanut,52,1.0,36.054625625,17.259218125
RF,42,peanut,56,1.0,62.18607062499999,6.279404375
RF,42,peanut,60,1.0,54.323601874999994,7.211398125
RF,42,peanut,64,1.0,71.81960705882352,10.641568235294116
RF,42,peanut,68,1.0,63.958332500000004,7.318334999999999
RF,42,peanut,72,1.0,71.24166625000001,5.244999999999999
RF,42,peanut,76,1.0,69.427730625,7.913935625000001
RF,42,peanut,80,1.0,74.189999375,6.603334375
RF,42,peanut,84,1.0,78.74833375,7.596665
RF,42,peanut,88,1.0,90.76249999999999,3.469166249999999
RF,42,peanut,92,1.0,92.01333249999999,1.761666250000001
RF,42,peanut,96,1.0,89.51531750000001,6.546197499999998
RF,42,peanut,100,1.0,89.684999375,10.315000625000001
RF,42,sunflower,4,0.1875,1.0812162500000015,3.603532499999999
RF,42,sunflower,8,0.5,9.825455625,2.973151875
RF,42,sunflower,12,0.3333333333333333,23.157966000000002,11.157966000000004
RF,42,sunflower,16,0.0,17.418583125,2.0210831250000023
RF,42,sunflower,20,0.6875,31.869181249999997,15.98748375
RF,42,sunflower,24,0.8125,11.780703124999999,12.219296875000001
RF,42,sunflower,28,1.0,38.231388125,10.662823125
RF,42,sunflower,32,1.0,34.178368750000004,8.370265
RF,42,sunflower,36,1.0,22.109399375,13.890600625000001
RF,42,sunflower,40,1.0,44.899383529411764,9.518318823529412
RF,42,sunflower,44,1.0,45.789573125000004,15.511481875
RF,42,sunflower,48,1.0,58.09387625,10.09387625
RF,42,sunflower,52,1.0,50.85128875,3.1422725000000007
RF,42,sunflower,56,1.0,50.87094625,5.225721249999999
RF,42,sunflower,60,1.0,59.813257500000006,7.7448375
RF,42,sunflower,64,1.0,71.1670975,7.3520974999999975
RF,42,sunflower,68,1.0,65.93091625,8.129152500000002
RF,42,sunflower,72,1.0,69.86884,4.537520000000001
RF,42,sunflower,76,1.0,71.87532875,5.737757500000002
RF,42,sunflower,80,1.0,79.0012192857143,3.517827857142858
RF,42,sunflower,84,1.0,54.665338125,29.334661875000002
RF,42,sunflower,88,1.0,76.67381,11.57785625
RF,42,sunflower,92,1.0,91.56944437499999,3.5294443750000006
RF,42,sunflower,96,1.0,93.515213125,3.2463806249999987
RF,42,sunflower,100,1.0,93.23599352941176,6.764006470588236
RF,43,peanut,4,0.9375,13.333148125000001,9.333148125000001
RF,43,peanut,8,0.5,16.882748125,8.882748124999999
RF,43,peanut,12,0.9375,20.31209625,8.56158625
RF,43,peanut,16,1.0,29.359868125,13.359868124999998
RF,43,peanut,20,0.6875,22.86416875,3.6848412500000007
RF,43,peanut,24,0.9375,23.20941,11.117256249999999
RF,43,peanut,28,0.875,18.089021875,9.910978125
RF,43,peanut,32,1.0,19.286205000000002,14.16078
RF,43,peanut,36,0.9375,20.32935875,23.45564
RF,43,peanut,40,1.0,38.966395000000006,2.9369274999999986
RF,43,peanut,44,1.0,52.134175,8.95915875
RF,43,peanut,48,1.0,52.19072625,4.73979
RF,43,peanut,52,1.0,40.142583125,15.062221875
RF,43,peanut,56,1.0,60.7967425,6.670005000000001
RF,43,peanut,60,1.0,59.13224125000001,5.85861375
RF,43,peanut,64,1.0,59.22588235294118,7.01098
RF,43,peanut,68,1.0,69.497910625,5.012644375
RF,43,peanut,72,1.0,71.857569375,3.705324374999999
RF,43,peanut,76,1.0,79.550166875,7.062943125
RF,43,peanut,80,1.0,78.69870375,5.052951250000001
RF,43,peanut,84,1.0,73.08924124999999,11.90561375
RF,43,peanut,88,1.0,86.3357675,4.034426249999997
RF,43,peanut,92,1.0,86.918335,7.098331249999999
RF,43,peanut,96,1.0,92.151195,3.8488049999999987
RF,43,peanut,100,1.0,90.134314375,9.865685625000001
RF,43,sunflower,4,0.5625,2.9031318750000015,2.720355625
RF,43,sunflower,8,0.5,10.452565624999998,2.452565624999999
RF,43,sunflower,12,0.3333333333333333,22.183669999999996,12.468270000000002
RF,43,sunflower,16,0.0625,17.15110625,3.817516249999999
RF,43,sunflower,20,0.6875,32.48123375,12.58831125
RF,43,sunflower,24,0.4375,9.83884,14.16116
RF,43,sunflower,28,1.0,32.99073,8.046005
RF,43,sunflower,32,1.0,35.67644875,7.530925
RF,43,sunflower,36,1.0,26.32050625,9.679493749999999
RF,43,sunflower,40,1.0,42.94751647058823,7.727841176470588
RF,43,sunflower,44,1.0,45.629433750000004,17.011755
RF,43,sunflower,48,1.0,51.474816875,4.300285624999999
RF,43,sunflower,52,1.0,55.872995625,8.972876875
RF,43,sunflower,56,1.0,48.397403749999995,11.30664375
RF,43,sunflower,60,1.0,63.535011875,5.590709375
RF,43,sunflower,64,1.0,69.15171875,7.298828750000002
RF,43,sunflower,68,1.0,63.11516,5.86072375
RF,43,sunflower,72,1.0,74.21138562499999,4.384284374999999
RF,43,sunflower,76,1.0,73.84637875,5.148621250000001
RF,43,sunflower,80,1.0,78.86351,3.852418571428572
RF,43,sunflower,84,1.0,63.80666624999999,20.35833375
RF,43,sunflower,88,1.0,80.84449375,9.38384
RF,43,sunflower,92,1.0,88.789904375,3.2100956249999992
RF,43,sunflower,96,1.0,89.91083375,6.482499999999999
RF,43,sunflower,100,1.0,92.39494941176471,7.605050588235292
RF,44,peanut,4,0.375,3.3199225000000014,4.60767625
RF,44,peanut,8,0.625,16.28121625,8.28121625
RF,44,peanut,12,0.875,16.478834374999998,4.520188125
RF,44,peanut,16,1.0,25.074424375,9.074424375
RF,44,peanut,20,0.3125,21.924890624999996,2.6124031249999993
RF,44,peanut,24,1.0,29.224189374999998,11.199596875000001
RF,44,peanut,28,0.9375,30.405671875000003,7.342600624999999
RF,44,peanut,32,0.4375,9.253233750000001,22.74676625
RF,44,peanut,36,1.0,21.730624999999996,15.424388750000002
RF,44,peanut,40,1.0,42.174229374999996,9.215770625000001
RF,44,peanut,44,1.0,59.1841675,16.4591675
RF,44,peanut,48,1.0,57.715495,11.943827500000001
RF,44,peanut,52,1.0,36.894774999999996,16.917257499999998
RF,44,peanut,56,1.0,65.46594437499999,9.465944375
RF,44,peanut,60,1.0,58.2746375,6.134363749999999
RF,44,peanut,64,1.0,76.70509882352941,12.705098823529411
RF,44,peanut,68,1.0,70.85976375,5.231221249999998
RF,44,peanut,72,1.0,63.39268500000001,11.441595
RF,44,peanut,76,1.0,76.694444375,1.7705556249999992
RF,44,peanut,80,1.0,77.51127125,3.878491249999998
RF,44,peanut,84,1.0,74.94499937500001,9.055000625
RF,44,peanut,88,1.0,86.800270625,4.707184375
RF,44,peanut,92,1.0,87.033074375,8.168591874999999
RF,44,peanut,96,1.0,84.53427125000002,11.46572875
RF,44,peanut,100,1.0,89.470985,10.529015
RF,44,sunflower,4,0.9375,13.943294375,9.943294375
RF,44,sunflower,8,0.4375,9.469535625,2.2081093749999994
RF,44,sunflower,12,0.06666666666666667,18.083709333333335,6.3188786666666665
RF,44,sunflower,16,0.4375,21.963715,7.49383375
RF,44,sunflower,20,0.6875,33.483990625,14.417324375
RF,44,sunflower,24,0.8125,9.520095624999998,14.479904375000004
RF,44,sunflower,28,1.0,39.115605,11.115605000000002
RF,44,sunflower,32,1.0,30.694055625,7.165944375
RF,44,sunflower,36,1.0,31.439811874999997,8.061238125000003
RF,44,sunflower,40,1.0,38.45333352941176,6.564706470588235
RF,44,sunflower,44,1.0,49.199504375000004,14.218274374999998
RF,44,sunflower,48,1.0,54.900366250000005,7.1213
RF,44,sunflower,52,1.0,53.119621875,5.659530625
RF,44,sunflower,56,1.0,45.142955625,10.857044375
RF,44,sunflower,60,1.0,58.09032125,6.86698875
RF,44,sunflower,64,1.0,73.581944375,9.581944375
RF,44,sunflower,68,1.0,71.251909375,5.289909375000001
RF,44,sunflower,72,1.0,69.8517325,4.8885749999999994
RF,44,sunflower,76,1.0,71.51345312499998,6.349880625000001
RF,44,sunflower,80,1.0,76.54204214285714,4.584730714285714
RF,44,sunflower,84,1.0,72.4385675,12.426068749999999
RF,44,sunflower,88,1.0,83.193774375,5.959740625000002
RF,44,sunflower,92,1.0,89.77426750000001,2.9007337500000006
RF,44,sunflower,96,1.0,96.94197125,3.809696250000001
RF,44,sunflower,100,1.0,91.94078764705881,8.059212352941175
MLP,42,peanut,4,1.0,6.715435028076172,2.736578941345215
