arm,model,adulterant,level_pct,lot,n_spectra,identification_acc,detection_rate,pred_adulterant_mean,pred_adulterant_sd,abs_error_mean
A,CNN,peanut,32,T3,16,1.0,1.0,20.682117144266766,4.427660774286214,11.317882855733234
A,CNN,peanut,36,T4,16,1.0,1.0,29.777321100234985,2.9223728639449087,6.222678899765014
A,CNN,peanut,40,T5,16,1.0,1.0,43.97689994176229,3.3704519779010504,4.484431266784668
A,CNN,peanut,44,T1,16,1.0,1.0,46.38211862246196,2.3246003925096823,2.5968007246653237
A,CNN,peanut,48,T2,16,1.0,1.0,51.348662296930954,3.141290693489911,3.671574036280314
A,CNN,peanut,52,T3,16,1.0,1.0,42.60849801699321,11.566234211990281,10.284386078516642
A,CNN,peanut,56,T4,16,1.0,1.0,52.8344452381134,2.4928285679361752,3.4339571793874106
A,CNN,peanut,60,T5,16,1.0,1.0,61.58945941925049,1.6082111083051625,1.9536552429199205
A,CNN,peanut,64,T1,17,1.0,1.0,63.78368220609777,2.5695484826004917,2.2513926636938946
A,CNN,peanut,68,T2,16,1.0,1.0,68.89448654651642,2.530100042146244,1.9309268395106
A,CNN,peanut,72,T3,16,1.0,1.0,75.5383120973905,5.078155361376642,4.050198217233022
A,CNN,peanut,76,T4,16,1.0,1.0,74.70595296223959,2.1720268099098154,1.7976108392079686
A,CNN,peanut,80,T5,16,1.0,1.0,81.5719373424848,2.0039866831238964,2.2258201638857527
A,CNN,peanut,84,T1,16,1.0,1.0,85.18584903081259,2.510838751049328,1.9300964275995893
A,CNN,peanut,88,T2,16,1.0,1.0,88.70714520911375,2.3501664213068985,1.9833143899838124
A,CNN,peanut,92,T3,16,1.0,1.0,94.99963019788265,2.65077566074441,3.521941011150677
A,CNN,peanut,96,T4,16,1.0,1.0,95.38670352101326,1.7228418567129364,1.4393247862656908
A,CNN,peanut,100,T5,16,1.0,1.0,97.25650542308965,2.3504600731151206,2.743494576910355
A,CNN,sunflower,4,T1,16,1.0,0.0625,3.4524844487508135,2.1728641774820736,1.8975804646809893
A,CNN,sunflower,8,T2,16,0.625,1.0,23.72312021255493,5.357829135403219,15.72312021255493
A,CNN,sunflower,12,T3,15,0.4,0.06666666666666667,3.9827490912543406,2.6646888652540324,8.017250908745659
A,CNN,sunflower,16,T4,16,0.0,0.8125,10.864023526509605,3.1784608976252673,5.135976473490395
A,CNN,sunflower,20,T5,16,0.9375,1.0,23.975261370340984,10.455524201597068,10.724739710489908
A,CNN,sunflower,24,T1,16,1.0,0.5625,8.574011961619059,4.605538707267676,15.425988038380941
A,CNN,sunflower,28,T2,16,1.0,1.0,37.916232188542686,4.492345786684401,9.916232188542685
A,CNN,sunflower,32,T3,16,1.0,1.0,25.86295994122823,5.963178261078151,7.30737312634786
A,CNN,sunflower,36,T4,16,1.0,1.0,26.9087553024292,4.1927679939081886,9.0912446975708
A,CNN,sunflower,40,T5,17,1.0,1.0,43.769060247084674,3.1242494125258236,3.8162787194345507
A,CNN,sunflower,44,T1,16,1.0,1.0,48.92981505393982,5.737857218884576,6.193137884140015
A,CNN,sunflower,48,T2,16,1.0,1.0,51.78496138254802,2.8828255171413564,3.976147333780925
A,CNN,sunflower,52,T3,16,1.0,1.0,44.058450301488236,3.6851993791409035,8.026431798934937
A,CNN,sunflower,56,T4,16,1.0,1.0,53.35626745223999,2.520608483979009,2.961633364359537
A,CNN,sunflower,60,T5,16,1.0,1.0,62.2036186059316,2.407158797566298,2.79951055844625
A,CNN,sunflower,64,T1,16,1.0,1.0,67.83070381482442,3.7920952370206575,4.628758033116656
A,CNN,sunflower,68,T2,16,1.0,1.0,69.07300980885825,4.931051774943693,4.142307281494141
A,CNN,sunflower,72,T3,16,1.0,1.0,70.84632567564645,2.731490506742891,2.4589721759160366
A,CNN,sunflower,76,T4,16,1.0,1.0,73.47958497206369,3.6462802630116586,3.6804112990697204
A,CNN,sunflower,80,T5,14,1.0,1.0,78.72125064759027,2.0407617538725993,1.9820545968555285
A,CNN,sunflower,84,T1,16,1.0,1.0,69.26397432883581,10.444616400152162,15.382164458433786
A,CNN,sunflower,88,T2,16,1.0,1.0,91.33664743602276,4.297674999132515,4.269166673223177
A,CNN,sunflower,92,T3,16,1.0,1.0,91.48465812206268,3.0946907572511257,2.553636471430461
A,CNN,sunflower,96,T4,16,1.0,1.0,95.12731455483784,3.473540083679995,3.166499184754988
A,CNN,sunflower,100,T5,17,1.0,1.0,95.3674278738452,3.5946240691084315,4.632572126154805
A,KAN,peanut,4,T1,16,1.0,0.25,6.363522847493489,2.3930553193231083,2.4518747329711923
A,KAN,peanut,8,T2,16,0.5,1.0,14.403308709462483,1.456239285237862,6.403308709462482
A,KAN,peanut,12,T3,16,1.0,1.0,15.902481079101562,2.0187446104715048,3.9024810791015625
A,KAN,peanut,16,T4,16,1.0,1.0,21.939089457194008,2.6658549904602142,5.93908945719401
A,KAN,peanut,20,T5,16,1.0,1.0,21.71315018335978,1.0692346653583207,1.7412225405375166
A,KAN,peanut,24,T1,16,1.0,1.0,28.29201571146647,1.7125445231067506,4.292015711466471
A,KAN,peanut,28,T2,16,1.0,1.0,29.84303299585978,1.1754103242919074,1.9628682136535653
A,KAN,peanut,32,T3,16,1.0,1.0,29.865747213363647,2.6992819346674866,2.6838564078013096
A,KAN,peanut,36,T4,16,1.0,1.0,37.54254484176636,2.426072453945891,2.2550888061523433
A,KAN,peanut,40,T5,16,1.0,1.0,36.83177924156189,0.8223935079539586,3.168220758438111
A,KAN,peanut,44,T1,16,1.0,1.0,45.68650380770365,1.863723477814587,1.9067216714223223
A,KAN,peanut,48,T2,16,1.0,1.0,49.48281399408976,1.6569163330660308,1.807131926218669
A,KAN,peanut,52,T3,16,1.0,1.0,48.47567264238994,4.504142952594845,3.763734896977742
A,KAN,peanut,56,T4,16,1.0,1.0,54.76840821901958,1.5451526177115236,1.7397205829620357
A,KAN,peanut,60,T5,16,1.0,1.0,57.86929003397624,0.9509927485721213,2.1307099660237627
A,KAN,peanut,64,T1,17,1.0,1.0,65.2515921873205,1.9956650515200243,1.8438955942789719
A,KAN,peanut,68,T2,16,1.0,1.0,71.75695323944092,1.7367470533188083,3.756953239440918
A,KAN,peanut,72,T3,16,1.0,1.0,68.59751137097678,3.3669231075651433,3.479379415512085
A,KAN,peanut,76,T4,16,1.0,1.0,75.4483064810435,1.3488776895579322,1.1374551455179844
A,KAN,peanut,80,T5,16,1.0,1.0,77.54871853192647,1.8986697523844502,2.525696913401286
A,KAN,peanut,84,T1,16,1.0,1.0,80.32024083534877,4.0658493246319685,4.126554985841113
A,KAN,peanut,88,T2,16,1.0,1.0,90.2041058242321,1.212262248308777,2.242685804764429
A,KAN,peanut,92,T3,16,1.0,1.0,94.58123584091663,1.4334603549030926,2.5812358409166345
A,KAN,peanut,96,T4,16,1.0,1.0,95.07962395002444,1.2456055625801759,1.1930010442932462
A,KAN,peanut,100,T5,16,1.0,1.0,97.10344146933251,0.6607615319651909,2.8965585306674866
A,KAN,sunflower,4,T1,16,0.4375,0.4375,8.365409374237062,3.386351470893445,4.365409374237062
A,KAN,sunflower,8,T2,16,1.0,0.9375,14.378892103830973,2.004787205411475,6.378892103830973
A,KAN,sunflower,12,T3,15,0.8666666666666667,0.4666666666666667,9.454746331108943,4.3132372055972015,4.517763095431857
A,KAN,sunflower,16,T4,16,0.6875,1.0,11.244266668955486,1.494490016461481,4.755733331044513
A,KAN,sunflower,20,T5,16,1.0,1.0,30.070687770843506,1.7952929486484936,10.070687770843506
A,KAN,sunflower,24,T1,16,1.0,1.0,30.659472862879433,3.2901407624339263,6.659472862879435
A,KAN,sunflower,28,T2,16,1.0,1.0,32.2310848236084,3.142000286153812,4.5189383824666365
A,KAN,sunflower,32,T3,16,1.0,1.0,28.637881914774574,2.221542768146953,3.467519760131836
A,KAN,sunflower,36,T4,16,1.0,1.0,26.24754969278971,1.070012859720734,9.752450307210285
A,KAN,sunflower,40,T5,17,1.0,1.0,47.89772258085363,1.266099925242464,7.897722580853631
A,KAN,sunflower,44,T1,16,1.0,1.0,44.23756353060405,2.066830495643737,1.6514446735382076
A,KAN,sunflower,48,T2,16,1.0,1.0,50.24011675516765,3.5282799721426636,3.343719641367595
A,KAN,sunflower,52,T3,16,1.0,1.0,49.1160204410553,3.0086410934194396,3.745185454686482
A,KAN,sunflower,56,T4,16,1.0,1.0,49.24393781026205,1.4458289877216046,6.756062189737955
A,KAN,sunflower,60,T5,16,1.0,1.0,65.83877344926198,1.54534217416815,5.838773449261982
A,KAN,sunflower,64,T1,16,1.0,1.0,62.21239034334819,2.344532685462654,2.3940055370330815
A,KAN,sunflower,68,T2,16,1.0,1.0,67.06818373998006,1.5756142333526952,1.543835004170738
